session,eta_nom,acad_lib,acad_reg_lib,mention,parcours,alternance,modalite_enseignement,lieux_formation,disci_master,disci_lib,secteur_disci_lib,n_accept,n_accept_femme,uo_lib_actuel,diploma_needed
2023,Université Paris-Saclay,Versailles,Île-de-France,etudes du developpement et de l'environnement,M1 Développement durable #PR1154,False,"INITIALE,HYBRIDE","Guyancourt - GUYANCOURT (78),Orsay - ORSAY (91),Sceaux - SCEAUX (92)","Economie, gestion et A.E.S.","Sciences économiques, gestion",Sciences économiques,22,18,Université Paris-Saclay,Autre
2023,Institut national supérieur de formation et de recherche pour l'éducation inclusive,Versailles,Île-de-France,"pratiques inclusives, handicap, accessibilite et accompagnement",Conseiller en accessibilité,False,"INITIALE,HYBRIDE",INSHEA - SURESNES (92),S.H.S.,Sciences humaines et sociales,Sciences de l'éducation,10,8,Institut national supérieur de formation et de recherche pour l'éducation inclusive,Autre
2023,Institut national supérieur de formation et de recherche pour l'éducation inclusive,Versailles,Île-de-France,"pratiques inclusives, handicap, accessibilite et accompagnement","Direction, pilotage et conseil dans l'intervention sociale et médico-sociale",False,"INITIALE,HYBRIDE",INSHEA - SURESNES (92),S.H.S.,Sciences humaines et sociales,Sciences de l'éducation,12,10,Institut national supérieur de formation et de recherche pour l'éducation inclusive,Autre
2023,Institut national supérieur de formation et de recherche pour l'éducation inclusive,Versailles,Île-de-France,"pratiques inclusives, handicap, accessibilite et accompagnement","Accessibilité pédagogique et éducation inclusive  Option Éducation, migration et minorités (EDUMIM)",False,"INITIALE,HYBRIDE",INSHEA - SURESNES (92),S.H.S.,Sciences humaines et sociales,Sciences de l'éducation,8,7,Institut national supérieur de formation et de recherche pour l'éducation inclusive,Autre
2023,Institut polytechnique de Paris,Versailles,Île-de-France,"electronique, energie electrique, automatique",M1  - Electrical Engineering,False,"INITIALE,HYBRIDE","IP Paris - PALAISEAU,Institut Polytechnique de Paris - PALAISEAU CEDEX (91)",Sc. fondamentales et appliquées (dont S.T.A.P.S.),Sciences fondamentales et applications,"Électronique, génie électrique, électronique - électrotechnique - automatique",3,1,Institut polytechnique de Paris,Autre
2023,Université Paris Nanterre,Versailles,Île-de-France,statistique et economie du risque,"Ingénierie de la finance, de l'assurance et du risque, Gestion du risque",False,"INITIALE,CONTINUE,HYBRIDE",Université Paris Nanterre  - NANTERRE  (92),"Economie, gestion et A.E.S.","Sciences économiques, gestion",Sciences économiques,20,10,Université Paris Nanterre,Autre
2023,Université Paris Nanterre,Versailles,Île-de-France,droit international et droit europeen,Droit du commerce international,False,"INITIALE,CONTINUE,HYBRIDE",Université Paris Nanterre - NANTERRE (92),Droit et sc. politiques,"Droit, sciences politiques",Sciences juridiques,13,12,Université Paris Nanterre,Autre
2023,Université Paris-Est Créteil,Créteil,Île-de-France,staps : activite physique adaptee et sante,Unknown,False,"INITIALE,HYBRIDE",UNIVERSITE PARIS EST CRETEIL VAL-DE-MARNE - UPEC - CRETEIL CEDEX (94),Sc. fondamentales et appliquées (dont S.T.A.P.S.),STAPS,STAPS,13,6,Université Paris-Est Créteil,Autre
2023,Université Claude Bernard - Lyon 1,Lyon,Auvergne-Rhône-Alpes,information et mediation scientifique et technique,Unknown,True,"APPRENTISSAGE,CONTRAT_PRO,CONTINUE",Université Claude Bernard Lyon 1 - VILLEURBANNE (69),S.H.S.,Sciences humaines et sociales,Sciences de l'information et la communication,1,1,Université Claude Bernard - Lyon 1,Autre
2023,Université Toulouse Capitole,Toulouse,Occitanie,administration economique et sociale,Administration Economique et Sociale,False,"INITIALE,HYBRIDE",Université Toulouse  Capitole  - TOULOUSE CEDEX 9 (31),"Economie, gestion et A.E.S.",Administration économique et sociale,Administration économique et sociale,61,27,Université Toulouse Capitole,Autre
